vx0,vy0,vz0,ax,ay,az,start_speed,left_handed_pitcher
11.05738134,-134.5476651,-4.248896485,-13.44595628,29.88406532,-15.21880286,92.8,0
4.18971987,-134.4563922,-5.640017666,-14.75367555,28.887855,-25.51015155,92.7,0
3.446650313,-137.3053246,-3.123219137,-17.64603168,30.68020492,-21.60235091,94.6,0
6.297821065,-137.5765677,-6.335518904,-16.5502944,29.58755713,-19.23582263,94.9,0
7.05192453,-136.9281403,-3.780493693,-19.39361005,30.48955314,-21.61092588,94.4,0
5.506983584,-136.5561455,-5.721386632,-15.59955675,28.93848271,-23.22200709,94.1,0
5.20436107,-137.4257535,-5.638110118,-12.62855099,26.31434996,-23.45821281,94.6,0
4.174561223,-137.1054299,-6.101289831,-14.23261373,30.27101733,-18.97936196,94.5,0
7.306538476,-137.2021411,-7.837008173,-15.10921196,28.9199174,-19.7592353,94.7,0
4.535558671,-136.6014232,-6.902207528,-13.26146695,27.67767249,-23.78868275,94.1,0
5.74963643,-136.32339,-6.394969371,-13.06734265,27.93858791,-20.83293567,93.9,0
9.537903193,-136.9841314,-8.081095349,-18.53074283,31.25676656,-23.34235716,94.7,0
8.129086578,-135.728746,-5.386413857,-19.9302206,32.279602,-20.16595337,93.8,0
5.521668454,-135.7734808,-5.157115973,-14.51235865,29.38420504,-22.7983677,93.6,0
5.157264236,-135.9249646,-2.929135031,-14.41301244,30.07592899,-22.8628662,93.7,0
7.417303361,-129.0656506,-4.039798265,-14.86413429,28.90324114,-17.77801085,89.2,0
7.441962005,-131.3618623,-6.171042049,-16.4893615,27.63338097,-16.75565597,90.7,0
5.664727485,-132.0036155,-7.562687874,-13.23240173,26.70691328,-17.79886997,91.1,0
6.578639367,-131.659624,-5.391969701,-15.75216253,26.96119789,-18.51057158,90.9,0
5.964303862,-131.4463802,-3.529555335,-14.27562039,27.44987138,-17.38016514,90.6,0
3.321648843,-134.7127676,-2.045279361,-14.2529114,30.73782393,-20.90503455,92.9,0
3.276734033,-134.6966659,-2.799333738,-14.98845045,30.45019338,-18.98559906,92.9,0
5.143342225,-131.0567535,-1.969629123,-16.61059331,27.50497563,-20.36991858,90.3,0
2.902781517,-132.7906176,-2.28128106,-11.38889342,28.34328858,-21.2308924,91.5,0
2.502173914,-134.2861015,-2.318704063,-11.31023927,28.23427045,-20.81429915,92.5,0
1.89878019,-133.7594199,-2.017951454,-10.99773242,26.83508908,-21.93916914,92,0
9.592517965,-133.6903972,-6.142559306,-14.7013023,29.52875497,-16.41514414,92.4,0
7.742914981,-136.8017173,-0.4858522134,-16.33708258,28.86485021,-15.32314231,94.4,0
5.165914208,-133.2384368,-3.19719766,-14.36078675,26.2765929,-20.82428289,91.9,0
5.417933357,-136.0891897,-5.436886059,-16.97373565,28.7153166,-15.95129058,93.9,0
6.631295998,-132.3391253,-7.282482873,-17.30279242,27.37147118,-19.13567264,91.4,0
7.271416899,-130.8355362,-5.861990961,-17.26437202,26.80953755,-16.98384314,90.3,0
6.384822056,-137.318611,-7.134646346,-16.090172,29.1418155,-15.70643928,94.8,0
8.262922365,-132.6220331,-3.164008652,-17.93359045,26.68470059,-21.86871147,91.5,0
6.868315584,-133.5444315,-6.842342512,-16.53948771,27.74608935,-15.76708486,92.2,0
6.618092597,-136.4579384,-5.725732726,-16.12379216,29.66662746,-14.46062874,94.2,0
7.75661498,-133.6961721,-6.018299933,-16.32590554,27.17120248,-17.34561453,92.4,0
10.92169656,-131.2048429,-3.906285208,-14.74818446,26.34973389,-16.24071264,90.5,0
10.30306905,-132.013955,-3.611147627,-13.52865987,26.17393785,-17.1587849,90.9,0
